"NAME","neg1825000_neg2975000","75000_neg2525000","625000_neg3475000","neg1425000_neg3225000","1775000_neg3725000","neg1425000_neg3475000","neg1225000_neg3775000","neg1425000_neg3275000","1225000_neg1275000","neg1175000_neg3275000","neg1075000_neg2825000","neg1075000_neg2375000","rwibald_type"
"104___",NA,NA,NA,"0.0006818744",NA,"0.0006818744",NA,NA,NA,NA,NA,NA,"other"
"105___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"106___",NA,NA,NA,NA,NA,NA,"-4.749313e-05",NA,NA,NA,NA,NA,"other"
"107___",NA,NA,NA,NA,NA,"0.0002552259","0.0002552259",NA,NA,NA,NA,NA,"other"
"108___",NA,NA,NA,NA,NA,"-6.397503e-05","-6.397503e-05",NA,NA,NA,NA,NA,"other"
"109___",NA,NA,NA,"2.851166e-05",NA,"2.851166e-05","2.851166e-05",NA,NA,NA,NA,NA,"other"
"110___","-9.885378e-06","-9.885378e-06","-9.885378e-06","-9.885378e-06",NA,NA,NA,"-9.885378e-06",NA,NA,NA,NA,"other"
"111___",NA,NA,NA,NA,NA,NA,"0.0005896411",NA,NA,NA,NA,NA,"other"
"112___",NA,NA,NA,NA,NA,"-0.0001180307",NA,NA,NA,NA,NA,NA,"other"
"113___",NA,NA,NA,"1.567189e-05",NA,"1.567189e-05","1.567189e-05","1.567189e-05",NA,NA,NA,NA,"other"
"114___",NA,NA,NA,"-8.777269e-05",NA,"-8.777269e-05","-8.777269e-05","-8.777269e-05",NA,NA,NA,NA,"other"
"115___",NA,NA,NA,"-6.873404e-05",NA,"-6.873404e-05","-6.873404e-05","-6.873404e-05",NA,NA,NA,NA,"other"
"116___",NA,NA,NA,"-5.828684e-05",NA,"-5.828684e-05","-5.828684e-05","-5.828684e-05",NA,NA,NA,NA,"other"
"117___",NA,NA,NA,"-2.925421e-05",NA,"-2.925421e-05","-2.925421e-05","-2.925421e-05",NA,NA,NA,NA,"other"
"118___",NA,NA,NA,"-1.391925e-05",NA,"-1.391925e-05","-1.391925e-05","-1.391925e-05",NA,NA,NA,NA,"other"
"119___",NA,NA,NA,"-5.176495e-05",NA,"-5.176495e-05","-5.176495e-05","-5.176495e-05",NA,NA,NA,NA,"other"
"120___","-8.136307e-06","-8.136307e-06","-8.136307e-06","-8.136307e-06",NA,"-8.136307e-06","-8.136307e-06","-8.136307e-06",NA,NA,NA,NA,"other"
"121___","-3.723155e-07","-3.723155e-07","-3.723155e-07","-3.723155e-07",NA,"-3.723155e-07","-3.723155e-07","-3.723155e-07",NA,NA,NA,NA,"other"
"122___","-5.781126e-06","-5.781126e-06","-5.781126e-06","-5.781126e-06",NA,"-5.781126e-06","-5.781126e-06","-5.781126e-06",NA,NA,NA,NA,"other"
"123___","-8.44549e-06","-8.44549e-06","-8.44549e-06","-8.44549e-06",NA,"-8.44549e-06","-8.44549e-06","-8.44549e-06",NA,NA,NA,NA,"other"
"124___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"125___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"126___",NA,NA,NA,NA,NA,"-0.0001597465",NA,NA,NA,NA,NA,NA,"other"
"127___",NA,NA,NA,NA,NA,NA,"-0.0002134441",NA,NA,NA,NA,NA,"other"
"128___",NA,NA,NA,NA,NA,NA,"-4.134496e-05",NA,NA,NA,NA,NA,"other"
"129___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"130___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"131___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"132___",NA,NA,NA,NA,NA,NA,"4.924578e-05",NA,NA,NA,NA,NA,"other"
"133___",NA,NA,NA,NA,NA,NA,"-3.708095e-05",NA,NA,NA,NA,NA,"other"
"134___",NA,NA,NA,NA,NA,NA,"-3.684381e-05",NA,NA,NA,NA,NA,"other"
"135___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"136___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"137___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"138___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"139___",NA,NA,NA,NA,NA,"-0.000410639",NA,NA,NA,NA,NA,NA,"other"
"140___",NA,NA,NA,NA,NA,"-0.000122732",NA,NA,NA,NA,NA,NA,"other"
"141___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"142___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"143___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"144___",NA,NA,NA,NA,NA,NA,"-0.0001506765",NA,NA,NA,NA,NA,"other"
"145___",NA,NA,NA,NA,NA,"-6.438065e-05","-6.438065e-05",NA,NA,NA,NA,NA,"other"
"146___",NA,NA,NA,NA,NA,"-8.343925e-05","-8.343925e-05",NA,NA,NA,NA,NA,"other"
"147___",NA,NA,NA,NA,NA,"9.750379e-06","9.750379e-06",NA,NA,NA,NA,NA,"other"
"148___",NA,NA,NA,NA,NA,"-1.062367e-05","-1.062367e-05",NA,NA,NA,NA,NA,"other"
"149___",NA,NA,NA,NA,NA,"-6.382699e-06","-6.382699e-06",NA,NA,NA,NA,NA,"other"
