ELEMENT,Axis_0,Axis_1,PD,PD_P,PD_P_per_taxon,PD_per_taxon,PE_WE,PE_WE_P,PHYLO_RPD2,PHYLO_RPD_DIFF2,PHYLO_RPD_NULL2,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1075000:-2675000,-1075000,-2675000,0.104860921831634,0.0114276058698114,0.0114276058698114,0.104860921831634,5.50235353533814e-005,5.99639278960055e-006,0.399966205443398,-0.157313532921077,0.0285714285714286,0.38082589355171,-8.94612181391226e-005,1.57457591280787e-005
-1075000:-2775000,-1075000,-2775000,0.360558301101823,0.0392931712415809,0.00785863424831618,0.0721116602203646,0.00110698927125531,0.000120638240376399,0.687630496727666,-0.163790608403599,0.0571428571428571,1.16893756814411,0.000159984656618063,0.000103203322114057
-1075000:-2825000,-1075000,-2825000,0.132500633757274,0.0144397454612264,0.0144397454612264,0.132500633757274,0.000441046400780146,4.80646588870051e-005,0.505391091142924,-0.129673820995437,0.0285714285714286,0.381941460812224,-0.000713702287257628,0.000125842999041771
-1075000:-2875000,-1075000,-2875000,0.404286604702838,0.0440586244741035,0.00489540271934483,0.0449207338558709,0.00159868045845105,0.000174222101730911,0.612595943030343,-0.255669781398813,0.0719211822660099,0.935282384826747,-0.000110621977248294,0.000186277539871751
-1075000:-2925000,-1075000,-2925000,0.204838244636976,0.022323003516351,0.00318900050233585,0.0292626063767108,0.000966940063240947,0.000105375861182966,0.411960883074477,-0.2923891695492,0.0541871921182266,0.737096223885307,-0.000344883321423962,0.000142960793677003
-1075000:-2975000,-1075000,-2975000,0.214074464057796,0.0233295546073065,0.00583238865182662,0.0535186160144489,0.000888560906497664,9.68342033754123e-005,0.503819104817363,-0.210828962610391,0.0463054187192118,0.924073515443097,-7.30085916516206e-005,0.000104790584035925
-1075000:-3025000,-1075000,-3025000,0.207283797086105,0.0225895166180332,0.0056473791545083,0.0518209492715263,0.000889745755490282,9.6963326666209e-005,0.545913318269136,-0.172417137383338,0.0413793103448276,0.671447142639917,-0.00043537084563499,0.000144409470989749
-1075000:-3075000,-1075000,-3075000,0.312427523912304,0.0340479422056141,0.00486399174365916,0.0446325034160435,0.000952906497956653,0.000103846501625411,0.639975209975896,-0.175759391834123,0.0532019704433498,0.578604771966165,-0.000693997475404246,0.000179477437202132
-1075000:-3125000,-1075000,-3125000,0.290120262462974,0.0316169260803975,0.00351299178671083,0.0322355847181082,0.00069819202046427,7.60880516015644e-005,0.534852999526724,-0.252309643921945,0.0591133004926108,0.543666374066308,-0.000586036789278367,0.000139953573057076
-1075000:-3175000,-1075000,-3175000,0.234579690368548,0.0255641873041923,0.00426069788403205,0.0390966150614246,0.000481573779143343,5.24812794810425e-005,0.518953002275104,-0.217445231618885,0.0492610837438424,0.566575099631722,-0.000368399647956381,9.26289904289046e-005
-1075000:-3225000,-1075000,-3225000,0.240693601501154,0.0262304733288246,0.00524609466576492,0.0481387203002308,0.0007319698694294,7.97691173252026e-005,0.566466604867169,-0.184209825167033,0.0463054187192118,0.812779083495648,-0.000168606786998939,9.81436640595215e-005
-1075000:-3275000,-1075000,-3275000,0.366047311293862,0.039891356380471,0.00443237293116345,0.0406719234770958,0.000937553367959298,0.000102173337634354,0.532759562186554,-0.321030570127035,0.0748768472906404,0.450944766323919,-0.00114153355792342,0.000226576169111056
-1075000:-3325000,-1075000,-3325000,0.375398814033143,0.0409104708964252,0.00511380886205316,0.0469248517541428,0.000854186169350948,9.30880895598028e-005,0.568823670683173,-0.284557572068509,0.0719211822660099,0.555900658602365,-0.000682394433914619,0.000167454540877579
-1075000:-3375000,-1075000,-3375000,0.304520821427877,0.0331862801284205,0.00663725602568409,0.0609041642855755,0.000915096522022701,9.97260199877043e-005,0.55219793984175,-0.24694958339679,0.0600985221674877,0.678382143433195,-0.000433843055589893,0.000147005667753878
-1075000:-3425000,-1075000,-3425000,0.687296296936433,0.07490064992735,0.00340457499669773,0.0312407407698379,0.00565936639153857,0.000616750334306611,0.589334571133801,-0.478928001791142,0.127093596059113,0.742795559657316,-0.00195964306262333,0.000830309667697993
-1075000:-3475000,-1075000,-3475000,0.216317491954514,0.0235739968486197,0.00589349921215492,0.0540793729886286,0.00118289332626753,0.000128910164840241,0.469168760810764,-0.244747928472667,0.0502463054187192,0.561411722634568,-0.000924104583780555,0.000229617871595729
-1075000:-3525000,-1075000,-3525000,0.280790801605715,0.0306002136598661,0.00510003560997769,0.0467984669342858,0.00132559996756355,0.000144462147630874,0.535503739047657,-0.243558107899707,0.0571428571428571,0.601220754353494,-0.000879247350105978,0.000240281371833575
-1075000:-3575000,-1075000,-3575000,0.214965873515401,0.0234266992420494,0.00585667481051234,0.0537414683788503,0.00146617000228326,0.000159781285836256,0.743065616583753,-0.0743300765565555,0.0315270935960591,1.25310527711643,0.000296140612847504,0.000127508269858966
-1075000:-3625000,-1075000,-3625000,0.520652992591895,0.0567400809601038,0.00515818917819125,0.0473320902356269,0.00775787919631837,0.000845443510247598,0.66196761120121,-0.265870371666237,0.0857142857142857,1.22633165015533,0.00143179343041996,0.000689408538171961
-1075000:-3675000,-1075000,-3675000,0.638287701517564,0.069559757410888,0.00579664645090733,0.0531906417931303,0.0141879303440072,0.00154618205950904,0.850640406892184,-0.112073668981574,0.0817733990147783,1.57372734941963,0.00517243579265462,0.000982496783880165
-1075000:-3725000,-1075000,-3725000,1.32663595714738,0.14457504841834,0.00401597356717612,0.0368509988096495,0.0460514138333591,0.00501862274184633,0.829060305901783,-0.273532266688129,0.174384236453202,1.41007799136671,0.0133926431020153,0.00355911004396435
-1075000:-3775000,-1075000,-3775000,0.742273053308932,0.080891944804905,0.00674099540040875,0.0618560877757444,0.0268138337187106,0.00292213646651011,1.02631654971223,0.0190331781290406,0.0788177339901478,1.79447893820706,0.0118714272363578,0.00162840388053244
-1125000:-2075000,-1125000,-2075000,0.107225388470379,0.0116852823461186,0.0116852823461186,0.107225388470379,0.000142351054824563,1.55132314428718e-005,0.912350890870025,-0.0103010912463536,0.012807881773399,1.1474173190875,1.82889089457043e-005,1.35201301085545e-005
