ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,_y
693,693,,24,2.7315112606638e-005,2.7315112606638e-005,325___,693,691,348,349,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,358.2
694,694,,25,3.67532612715333e-005,3.67532612715333e-005,melanoxylon,694,693,348,348,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,357.7
695,695,,25,4.63656526810112e-005,4.63656526810112e-005,implexa,695,693,349,349,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,358.7
696,696,,21,2.47706911583484e-005,2.47706911583484e-005,341___,696,682,350,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,362.35625
697,697,,22,0.000210262843553423,0.000210262843553423,viscidula,697,696,350,350,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,359.7
698,698,,22,2.66705081793427e-005,2.66705081793427e-005,340___,698,696,351,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,365.0125
699,699,,23,6.32258900195607e-005,6.32258900195607e-005,332___,699,698,351,355,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,361.6375
7,7,,5,8.52953044603508e-005,8.52953044603508e-005,2___,7,5,5,7,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,15.45
70,70,,10,0.000132960327541135,0.000132960327541135,pravifolia,70,68,35,35,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,44.7
700,700,,24,0.00019236813346377,0.00019236813346377,flexifolia,700,699,351,351,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,360.7
701,701,,24,7.79422609723895e-005,7.79422609723895e-005,331___,701,699,352,355,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,362.575
702,702,,25,0.00150688371213286,0.00150688371213286,errabunda,702,701,352,352,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,361.7
703,703,,25,8.21936570254289e-005,8.21936570254289e-005,330___,703,701,353,355,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,363.45
704,704,,26,0.0012916146103996,0.0012916146103996,menzelii,704,703,353,353,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,362.7
705,705,,26,8.44981520822167e-005,8.44981520822167e-005,329___,705,703,354,355,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,364.2
706,706,,27,9.13262855838099e-005,9.13262855838099e-005,lineata,706,705,354,354,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,363.7
